code ,name_en ,,,,,,,,,
656,Nyansiongo Town Council,,,,,,,,,
661,Nyeri County Council,,,,,,,,,
671,Nzoia County Council,,,,,,,,,
681,Ol`Kalou Town Council,,,,,,,,,
686,Olkejuado County Council,,,,,,,,,
691,Othaya Town Council,,,,,,,,,
701,Pokot County Council,,,,,,,,,
716,Rongo Town Council,,,,,,,,,
721,Ruiru Municipal Council,,,,,,,,,
726,Rumuruti Town Council,,,,,,,,,
731,Runyenjes Municipal Council,,,,,,,,,
741,Samburu County Council,,,,,,,,,
746,Siaya County Council,,,,,,,,,
751,Siaya Municipal Council,,,,,,,,,
761,Sotik Town Council,,,,,,,,,
766,Suba County Council,,,,,,,,,
776,Tabaka Town Council,,,,,,,,,
781,Taita Taveta County Council,,,,,,,,,
786,Tana River County Council,,,,,,,,,
791,Taveta Town Council,,,,,,,,,
796,Teso County Council,,,,,,,,,
806,Thika County Council,,,,,,,,,
811,Thika Municipal Council,,,,,,,,,
816,Trans Mara County Council,,,,,,,,,
821,Turkana County Council,,,,,,,,,
831,Ukwala Town Council,,,,,,,,,
836,Vihiga County Council,,,,,,,,,
851,Wajir County Council,,,,,,,,,
856,Wareng County Council,,,,,,,,,
861,Webuye Municipal Council,,,,,,,,,
866,Wote Town Council,,,,,,,,,
871,Yala Town Council,,,,,,,,,
001,Nairobi City Council,,,,,,,,,
006,Ahero Town Council,,,,,,,,,
011,Awendo Town Council,,,,,,,,,
176,Kandara Town Council,,,,,,,,,
221,Kendu Bay Town Council,,,,,,,,,
246,Kiambu Municipal Council,,,,,,,,,
291,Kisumu County Council,,,,,,,,,
311,Kitui Municipal Council,,,,,,,,,
326,Kwale Town Council,,,,,,,,,
406,Malindi Municipal Council,,,,,,,,,
431,Marakwet County Council,,,,,,,,,
491,Meru Municipal Council,,,,,,,,,
546,Murang`a County Council,,,,,,,,,
576,Nakuru Municipal Council,,,,,,,,,
596,Nanyuki Municipal Council,,,,,,,,,
626,Nyamarambe Town Council,,,,,,,,,
641,Nyamira Town Council,,,,,,,,,
651,Nyando County Council,,,,,,,,,
711,Rachuonyo County Council,,,,,,,,,
771,Suneka Town Council,,,,,,,,,
846,Voi Municipal Council,,,,,,,,,
071,Butere-Mumias County Council,,,,,,,,,
076,Chepareria Town Council,,,,,,,,,
121,Garissa Municipal Council,,,,,,,,,
131,Gusii County Council,,,,,,,,,
143,Ijara County Council,,,,,,,,,
181,Kangema Town Council,,,,,,,,,
201,Karatina Municipal Council,,,,,,,,,
206,Karuri Town Council,,,,,,,,,
211,Kehancha Municipal Council,,,,,,,,,
231,Keroka Town Council,,,,,,,,,
236,Kerugoya/Kutus Municipal Council,,,,,,,,,
251,Kikuyu Town Council,,,,,,,,,
266,Kimilili Municipal Council,,,,,,,,,
301,Kitale Municipal Council,,,,,,,,,
351,Lodwar Municipal Council,,,,,,,,,
396,Malava Town Council,,,,,,,,,
426,Maragwa Town Council,,,,,,,,,
456,Masimba Town Council,,,,,,,,,
466,Maua Municipal Council,,,,,,,,,
471,Mavoko Municipal Council,,,,,,,,,
521,Mt Elgon County Council,,,,,,,,,
536,Muhoroni Town Council,,,,,,,,,
571,Nakuru County Council,,,,,,,,,
621,Nyamache Town Council,,,,,,,,,
631,Nyambene County Council,,,,,,,,,
667,Nyeri Municipal Council,,,,,,,,,
676,Ogembo Town Council,,,,,,,,,
696,Oyugis Town Council,,,,,,,,,
706,Port Victoria Town Council,,,,,,,,,
736,Sagana Town Council,,,,,,,,,
756,Sirisia Town Council,,,,,,,,,
801,Tharaka County Council,,,,,,,,,
826,Ugunja Town Council,,,,,,,,,
841,Vihiga Municipal Council,,,,,,,,,
135,Ministry of State for Special Programmes,,,,,,,,,
123,Cabinet Office,,,,,,,,,
140,Ministry of State for Immigration and Registration of Persons,,,,,,,,,
141,Ministry of State for National Heritage and Culture,,,,,,,,,
142,Ministry of Youth Affairs and Sports,,,,,,,,,
143,"Ministry of Higher Education, Science and Technology",,,,,,,,,
144,Ministry of Housing,,,,,,,,,
156,Ministry of Fisheries Development,,,,,,,,,
149,Ministry of Public Health and Sanitation,,,,,,,,,
148,Office of the Prime Minister,,,,,,,,,
155,Ministry of Forestry and Wildlife,,,,,,,,,
158,Ministry of Development of Northern Kenya and Other Arid Lands,,,,,,,,,
160,Ministry of Industrialization,,,,,,,,,
157,Ministry of Nairobi Metropolitan Development,,,,,,,,,
159,Ministry of Public Works,,,,,,,,,
161,Interim Independent Boundaries Review Commission,,,,,,,,,
134,Ethics and Anti-Corruption Commission,,,,,,,,,
206,Commission on Revenue Allocation,,,,,,,,,
163,Directorate of Public Prosecution,,,,,,,,,
164,Human Rights and Equality Commission,,,,,,,,,
165,Commission for the Implementation of the Constitution,,,,,,,,,
210,National Police Service Commission,,,,,,,,,
168,Registrar of Political Parties,,,,,,,,,
169,Witness Protection Agency,,,,,,,,,
201,Kenya National Human Rights and Equality Commission,,,,,,,,,
208,Salaries and Remuneration Commission,,,,,,,,,
209,Teachers Service Commission,,,,,,,,,
212,Controller of Budget,,,,,,,,,
213,The Commission on Administrative Justice,,,,,,,,,
214,National Gender and Equality Commission,,,,,,,,,
